,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
2,C1OZ6DPJ8Y,46.0,84208.0,129188.0,451.0,26.0,3.0,21.17,24.0,0.31,Master's,Unemployed,Divorced,Yes,Yes,Auto,No,1.0
5,A9S62RQ7US,25.0,90298.0,90448.0,720.0,18.0,2.0,22.72,24.0,0.1,High School,Unemployed,Single,Yes,No,Business,Yes,1.0
8,1R0N3LGNRJ,36.0,42053.0,92357.0,827.0,83.0,1.0,23.94,48.0,0.2,Bachelor's,Self-employed,Divorced,Yes,No,Education,No,1.0
11,Y8UETC3LSG,28.0,149227.0,139759.0,375.0,56.0,3.0,5.84,36.0,0.8,PhD,Full-time,Divorced,No,No,Education,Yes,1.0
18,O1IKKLC69B,19.0,40718.0,78515.0,319.0,119.0,2.0,14.0,24.0,0.17,Bachelor's,Self-employed,Divorced,Yes,No,Education,No,1.0
23,LXK7UEMLK0,19.0,118989.0,123300.0,528.0,73.0,3.0,15.29,36.0,0.22,PhD,Part-time,Single,Yes,No,Business,Yes,1.0
27,G8AIMX5E52,39.0,17633.0,167105.0,514.0,62.0,3.0,7.86,36.0,0.66,High School,Full-time,Single,Yes,Yes,Auto,Yes,1.0
31,P3EX8G0AYT,44.0,100284.0,225403.0,551.0,31.0,1.0,18.77,36.0,0.17,Master's,Unemployed,Divorced,No,Yes,Business,Yes,1.0
40,EGBQ6R80VB,20.0,139321.0,43049.0,458.0,117.0,2.0,7.16,36.0,0.53,Master's,Self-employed,Single,Yes,No,Home,No,1.0
47,RSP1YD80Z7,35.0,95963.0,77552.0,560.0,8.0,2.0,6.63,24.0,0.86,Master's,Self-employed,Divorced,Yes,Yes,Home,No,1.0
50,06Q275JKQB,31.0,103515.0,220032.0,369.0,57.0,2.0,22.36,24.0,0.81,PhD,Unemployed,Divorced,No,No,Education,Yes,1.0
60,LCBMJZGE8D,25.0,85814.0,227368.0,669.0,58.0,1.0,19.11,36.0,0.75,High School,Unemployed,Divorced,Yes,No,Education,Yes,1.0
84,42SRSHU039,25.0,24742.0,219541.0,719.0,73.0,3.0,15.21,12.0,0.6,PhD,Self-employed,Divorced,No,No,Auto,No,1.0
86,VFVJ0MCK4P,40.0,137937.0,169513.0,542.0,25.0,2.0,14.38,12.0,0.57,High School,Part-time,Divorced,No,Yes,Other,No,1.0
103,YH36D287WZ,24.0,40782.0,172030.0,585.0,74.0,4.0,2.51,24.0,0.64,Bachelor's,Part-time,Married,Yes,No,Home,Yes,1.0
116,GXVEJUYTQ2,50.0,22773.0,174149.0,533.0,53.0,4.0,9.9,60.0,0.7,High School,Part-time,Divorced,Yes,No,Home,No,1.0
152,LRD1ETMYIL,32.0,29815.0,130015.0,528.0,1.0,4.0,21.53,12.0,0.48,PhD,Self-employed,Single,Yes,No,Home,No,1.0
